Jahr;Land;ISO 3166;Region;Konfliktstufe;;;;;;;
2001;Indien;IND;Asien/Ozenanien;5;;;;;;;
2002;Indien;IND;Asien/Ozenanien;4;;;;;;;
2003;Indien;IND;Asien/Ozenanien;4;;;;;;;
2004;Indien;IND;Asien/Ozenanien;4;;;;;;;
2005;Indien;IND;Asien/Ozenanien;4;;;;;;;
2006;Indien;IND;Asien/Ozenanien;4;;;;;;;
2007;Indien;IND;Asien/Ozenanien;4;;;;;;;
2008;Indien;IND;Asien/Ozenanien;4;;;;;;;
2009;Indien;IND;Asien/Ozenanien;4;;;;;;;
2010;Indien;IND;Asien/Ozenanien;4;;;;;;;
2011;Indien;IND;Asien/Ozenanien;4;;;;;;;
2012;Indien;IND;Asien/Ozenanien;5;;;;;;;
2013;Indien;IND;Asien/Ozenanien;4;;;;;;;
1998;Indonesien;IDN;Asien/Ozenanien;4;;;;;;;
1999;Indonesien;IDN;Asien/Ozenanien;4;;;;;;;
2000;Indonesien;IDN;Asien/Ozenanien;4;;;;;;;
2001;Indonesien;IDN;Asien/Ozenanien;4;;;;;;;
2002;Indonesien;IDN;Asien/Ozenanien;4;;;;;;;
2003;Indonesien;IDN;Asien/Ozenanien;5;;;;;;;
2004;Indonesien;IDN;Asien/Ozenanien;4;;;;;;;
1998;Irak;IRQ;MENA;4;;;;;;;
1999;Irak;IRQ;MENA;4;;;;;;;
2000;Irak;IRQ;MENA;4;;;;;;;
2001;Irak;IRQ;MENA;4;;;;;;;
2002;Irak;IRQ;MENA;4;;;;;;;
2003;Irak;IRQ;MENA;5;;;;;;;
2004;Irak;IRQ;MENA;5;;;;;;;
2005;Irak;IRQ;MENA;5;;;;;;;
2006;Irak;IRQ;MENA;5;;;;;;;
2007;Irak;IRQ;MENA;5;;;;;;;
2008;Irak;IRQ;MENA;5;;;;;;;
2009;Irak;IRQ;MENA;4;;;;;;;
2010;Irak;IRQ;MENA;5;;;;;;;
2011;Irak;IRQ;MENA;5;;;;;;;
2012;Irak;IRQ;MENA;5;;;;;;;
2013;Irak;IRQ;MENA;5;;;;;;;
2007;Iran;IRN;MENA;4;;;;;;;
2008;Iran;IRN;MENA;4;;;;;;;
2009;Iran;IRN;MENA;4;;;;;;;
2011;Iran;IRN;MENA;4;;;;;;;
1998;Israel;ISL;MENA;4;;;;;;;
1999;Israel;ISL;MENA;4;;;;;;;
2000;Israel;ISL;MENA;4;;;;;;;
2001;Israel;ISL;MENA;4;;;;;;;
2002;Israel;ISL;MENA;5;;;;;;;
2003;Israel;ISL;MENA;4;;;;;;;
2004;Israel;ISL;MENA;4;;;;;;;
2005;Israel;ISL;MENA;4;;;;;;;
2006;Israel;ISL;MENA;5;;;;;;;
2007;Israel;ISL;MENA;4;;;;;;;
2008;Israel;ISL;MENA;4;;;;;;;
2009;Israel;ISL;MENA;5;;;;;;;
2010;Israel;ISL;MENA;4;;;;;;;
2011;Israel;ISL;MENA;4;;;;;;;
2012;Israel;ISL;MENA;4;;;;;;;
2011;Jamaica;JAM;Amerika;5;;;;;;;
2004;Jemen;YEM;MENA;4;;;;;;;
2005;Jemen;YEM;MENA;4;;;;;;;
2006;Jemen;YEM;MENA;4;;;;;;;
2008;Jemen;YEM;MENA;4;;;;;;;
2009;Jemen;YEM;MENA;5;;;;;;;
2010;Jemen;YEM;MENA;4;;;;;;;
2011;Jemen;YEM;MENA;5;;;;;;;
2012;Jemen;YEM;MENA;5;;;;;;;
2013;Jemen;YEM;MENA;5;;;;;;;
1998;Jugoslawien;YUG;Europa;5;;;;;;;
1999;Jugoslawien;YUG;Europa;5;;;;;;;
2000;Jugoslawien;YUG;Europa;4;;;;;;;
2001;Jugoslawien;YUG;Europa;4;;;;;;;
1998;Kambodscha;KHM;Asien/Ozenanien;4;;;;;;;
2011;Kambodscha;KHM;Asien/Ozenanien;4;;;;;;;
2007;Kenia;KEN;Sub-Sahara Afrika;4;;;;;;;
2008;Kenia;KEN;Sub-Sahara Afrika;4;;;;;;;
2012;Kenia;KEN;Sub-Sahara Afrika;4;;;;;;;
2013;Kenia;KEN;Sub-Sahara Afrika;4;;;;;;;
